;powiat;unemployment_ratio;class;woj
117;chrzanowski;9.3;IV;MAŁOPOLSKIE
118;dąbrowski;12.0;V;MAŁOPOLSKIE
119;gorlicki;7.0;II;MAŁOPOLSKIE
120;krakowski;5.0;II;MAŁOPOLSKIE
121;limanowski;8.9;III;MAŁOPOLSKIE
122;miechowski;5.9;II;MAŁOPOLSKIE
123;myślenicki;3.9;I;MAŁOPOLSKIE
124;nowosądecki;8.8;III;MAŁOPOLSKIE
125;nowotarski;7.5;III;MAŁOPOLSKIE
126;olkuski;8.3;III;MAŁOPOLSKIE
127;oświęcimski;6.6;II;MAŁOPOLSKIE
128;proszowicki;7.0;II;MAŁOPOLSKIE
129;suski;4.4;II;MAŁOPOLSKIE
130;tarnowski;8.1;III;MAŁOPOLSKIE
131;tatrzański;10.7;IV;MAŁOPOLSKIE
132;wadowicki;5.5;II;MAŁOPOLSKIE
133;wielicki;5.5;II;MAŁOPOLSKIE
134;Kraków;3.1;I;MAŁOPOLSKIE
135;Nowy Sącz;4.5;II;MAŁOPOLSKIE
136;Tarnów;6.4;II;MAŁOPOLSKIE
137;białobrzeski;8.4;III;MAZOWIECKIE
138;ciechanowski;11.0;IV;MAZOWIECKIE
139;garwoliński;10.0;IV;MAZOWIECKIE
140;gostyniński;16.2;VI;MAZOWIECKIE
141;grodziski;3.7;I;MAZOWIECKIE
142;grójecki;2.6;I;MAZOWIECKIE
143;kozienicki;11.4;V;MAZOWIECKIE
144;legionowski;9.5;IV;MAZOWIECKIE
145;lipski;10.6;IV;MAZOWIECKIE
146;łosicki;6.4;II;MAZOWIECKIE
147;makowski;18.3;VII;MAZOWIECKIE
148;miński;5.9;II;MAZOWIECKIE
149;mławski;8.1;III;MAZOWIECKIE
150;nowodworski;7.4;III;MAZOWIECKIE
151;ostrołęcki;12.3;V;MAZOWIECKIE
152;ostrowski;10.7;IV;MAZOWIECKIE
153;otwocki;5.3;II;MAZOWIECKIE
154;piaseczyński;4.9;II;MAZOWIECKIE
155;płocki;13.2;V;MAZOWIECKIE
156;płoński;10.9;IV;MAZOWIECKIE
157;pruszkowski;4.8;II;MAZOWIECKIE
158;przasnyski;10.4;IV;MAZOWIECKIE
159;przysuski;19.8;VII;MAZOWIECKIE
160;pułtuski;17.4;VI;MAZOWIECKIE
161;radomski;20.0;VII;MAZOWIECKIE
162;siedlecki;6.8;II;MAZOWIECKIE
163;sierpecki;17.3;VI;MAZOWIECKIE
164;sochaczewski;7.1;III;MAZOWIECKIE
165;sokołowski;6.5;II;MAZOWIECKIE
166;szydłowiecki;25.6;VII;MAZOWIECKIE
167;warszawski zachodni;2.8;I;MAZOWIECKIE
168;węgrowski;8.8;III;MAZOWIECKIE
169;wołomiński;9.9;IV;MAZOWIECKIE
170;wyszkowski;5.7;II;MAZOWIECKIE
171;zwoleński;11.8;V;MAZOWIECKIE
172;żuromiński;15.3;VI;MAZOWIECKIE
173;żyrardowski;11.7;V;MAZOWIECKIE
174;Ostrołęka;11.1;IV;MAZOWIECKIE
175;Płock;7.8;III;MAZOWIECKIE
176;Radom;14.6;VI;MAZOWIECKIE
177;Siedlce;6.1;II;MAZOWIECKIE
178;Warszawa;2.4;I;MAZOWIECKIE
179;brzeski;11.7;V;OPOLSKIE
180;głubczycki;11.5;V;OPOLSKIE
181;kędzierzyńsko-kozielski;8.8;III;OPOLSKIE
182;kluczborski;8.4;III;OPOLSKIE
183;krapkowicki;5.9;II;OPOLSKIE
184;namysłowski;10.0;IV;OPOLSKIE
185;nyski;10.1;IV;OPOLSKIE
186;oleski;5.6;II;OPOLSKIE
187;opolski;7.8;III;OPOLSKIE
