jpt_nazwa_,unemployment_rate_class_powiat,unemployment_rate_class_unemployment_ratio,unemployment_rate_class_class
warszawski zachodni,warszawski zachodni,2.8,I
wêgrowski,wêgrowski,8.8,III
P³ock,P³ock,7.8,III
bia³obrzeski,bia³obrzeski,8.4,III
ciechanowski,ciechanowski,11,IV
garwoliñski,garwoliñski,10,IV
gostyniñski,gostyniñski,16.2,VI
grodziski,grodziski,4.6,II
grójecki,grójecki,2.6,I
kozienicki,kozienicki,11.4,V
zwoleñski,zwoleñski,11.8,V
legionowski,legionowski,9.5,IV
lipski,lipski,10.6,IV
wo³omiñski,wo³omiñski,9.9,IV
wyszkowski,wyszkowski,5.7,II
¿uromiñski,¿uromiñski,15.3,VI
nyski,nyski,10.1,IV
oleski,oleski,5.6,II
strzelecki,strzelecki,5.1,II
Opole,Opole,4.6,II
g³ubczycki,g³ubczycki,11.5,V
krapkowicki,krapkowicki,5.9,II
brzeski,brzeski,11.7,V
namys³owski,namys³owski,10,IV
prudnicki,prudnicki,10.4,IV
kêdzierzyñsko-kozielski,kêdzierzyñsko-kozielski,8.8,III
kluczborski,kluczborski,8.4,III
opolski,opolski,7.8,III
ni¿añski,ni¿añski,17.5,VI
przemyski,przemyski,15,VI
przeworski,przeworski,13.2,V
ropczycko-sêdziszowski,ropczycko-sêdziszowski,12.2,V
rzeszowski,rzeszowski,9.6,IV
stalowowolski,stalowowolski,5.8,II
strzy¿owski,strzy¿owski,14.7,VI
tarnobrzeski,tarnobrzeski,8.5,III
leski,leski,16.2,VI
Krosno,Krosno,4,I
Rzeszów,Rzeszów,6,II
Przemyœl,Przemyœl,13.3,V
Tarnobrzeg,Tarnobrzeg,9.9,IV
brzozowski,brzozowski,16.5,VI
bieszczadzki,bieszczadzki,15.2,VI
dêbicki,dêbicki,7.5,III
jaros³awski,jaros³awski,13.3,V
kolbuszowski,kolbuszowski,9.6,IV
jasielski,jasielski,11.1,IV
kroœnieñski,kroœnieñski,8.5,III
le¿ajski,le¿ajski,13.4,V
lubaczowski,lubaczowski,9.5,IV
³añcucki,³añcucki,11.6,V
mielecki,mielecki,6.1,II
sanocki,sanocki,7.4,III
augustowski,augustowski,10.3,IV
bia³ostocki,bia³ostocki,10.8,IV
sejneñski,sejneñski,13.5,V
moniecki,moniecki,7.8,III
wysokomazowiecki,wysokomazowiecki,6.3,II
Suwa³ki,Suwa³ki,6.4,II
sokólski,sokólski,11.8,V
zambrowski,zambrowski,9.4,IV
Bia³ystok,Bia³ystok,8,III
hajnowski,hajnowski,8.3,III
siemiatycki,siemiatycki,8.4,III
bielski,bielski,4.4,II
kolneñski,kolneñski,15.2,VI
³om¿yñski,³om¿yñski,8.6,III
£om¿a,£om¿a,10.3,IV
grajewski,grajewski,15,VI
suwalski,suwalski,4.9,II
s³upski,s³upski,9.6,IV
sztumski,sztumski,11.7,V
chojnicki,chojnicki,10.6,IV
cz³uchowski,cz³uchowski,13.2,V
kwidzyñski,kwidzyñski,6.7,II
S³upsk,S³upsk,4.8,II
starogardzki,starogardzki,5.9,II
tczewski,tczewski,7,II
malborski,malborski,12.4,V
nowodworski,nowodworski,10.7,IV
bytowski,bytowski,11.3,V
gdañski,gdañski,5,II
lêborski,lêborski,7.6,III
koœcierski,koœcierski,6.5,II
Sosnowiec,Sosnowiec,8.7,III
k³obucki,k³obucki,7.9,III
gliwicki,gliwicki,6.3,II
lubliniecki,lubliniecki,7.4,III
miko³owski,miko³owski,3.5,I
myszkowski,myszkowski,9.7,IV
Siemianowice Œl¹skie,Siemianowice Œl¹skie,7.2,III
pszczyñski,pszczyñski,3.5,I
Œwiêtoch³owice,Œwiêtoch³owice,8.4,III
raciborski,raciborski,5.4,II
Tychy,Tychy,3.1,I
rybnicki,rybnicki,7.6,III
Zabrze,Zabrze,7,II
¯ory,¯ory,5,II
tarnogórski,tarnogórski,7,II
bieruñsko-lêdziñski,bieruñsko-lêdziñski,3.2,I
bielski,bielski,4.4,II
bêdziñski,bêdziñski,9.7,IV
wodzis³awski,wodzis³awski,7,II
zawierciañski,zawierciañski,10,IV
cieszyñski,cieszyñski,5.6,II
Ruda Œl¹ska,Ruda Œl¹ska,4.5,II
¿ywiecki,¿ywiecki,7.2,III
Jastrzêbie-Zdrój,Jastrzêbie-Zdrój,5.8,II
Chorzów,Chorzów,6.6,II
Bielsko-Bia³a,Bielsko-Bia³a,2.8,I
Bytom,Bytom,13.3,V
czêstochowski,czêstochowski,9.3,IV
D¹browa Górnicza,D¹browa Górnicza,7,II
Czêstochowa,Czêstochowa,5.3,II
Gliwice,Gliwice,4,I
Piekary Œl¹skie,Piekary Œl¹skie,8.1,III
Katowice,Katowice,2.5,I
Jaworzno,Jaworzno,5.3,II
Mys³owice,Mys³owice,6.2,II
Rybnik,Rybnik,4.9,II
w³oszczowski,w³oszczowski,7,II
piñczowski,piñczowski,6.8,II
sandomierski,sandomierski,7.4,III
kazimierski,kazimierski,8.6,III
Kielce,Kielce,6.4,II
kielecki,kielecki,11.2,IV
starachowicki,starachowicki,9.8,IV
buski,buski,4.4,II
staszowski,staszowski,7.5,III
konecki,konecki,12.7,V
opatowski,opatowski,12.8,V
jêdrzejowski,jêdrzejowski,8.4,III
ostrowiecki,ostrowiecki,12.4,V
skar¿yski,skar¿yski,17,VI
olecki,olecki,14.3,VI
olsztyñski,olsztyñski,13.8,V
piski,piski,17.2,VI
ostródzki,ostródzki,12.8,V
szczycieñski,szczycieñski,12.3,V
go³dapski,go³dapski,12.5,V
wêgorzewski,wêgorzewski,18.3,VII
Elbl¹g,Elbl¹g,10.2,IV
Olsztyn,Olsztyn,4.6,II
elbl¹ski,elbl¹ski,18.8,VII
bartoszycki,bartoszycki,20.9,VII
e³cki,e³cki,14.7,VI
braniewski,braniewski,22.4,VII
dzia³dowski,dzia³dowski,16.6,VI
gi¿ycki,gi¿ycki,10.1,IV
i³awski,i³awski,5,II
kêtrzyñski,kêtrzyñski,19.2,VII
lidzbarski,lidzbarski,17.6,VII
mr¹gowski,mr¹gowski,10.6,IV
nidzicki,nidzicki,9,III
nowomiejski,nowomiejski,9.3,IV
kêpiñski,kêpiñski,2.1,I
kolski,kolski,7.9,III
nowotomyski,nowotomyski,2.7,I
obornicki,obornicki,4.9,II
leszczyñski,leszczyñski,3.5,I
miêdzychodzki,miêdzychodzki,5.1,II
koniñski,koniñski,12,V
koœciañski,koœciañski,4,I
pilski,pilski,6.1,II
turecki,turecki,4.7,II
w¹growiecki,w¹growiecki,7.1,III
czarnkowsko-trzcianecki,czarnkowsko-trzcianecki,5.3,II
ostrowski,ostrowski,3.7,I
poznañski,poznañski,1.9,I
grodziski,grodziski,4.6,II
wolsztyñski,wolsztyñski,1.9,I
wrzesiñski,wrzesiñski,4.2,I
rawicki,rawicki,5.2,II
szamotulski,szamotulski,4.5,II
z³otowski,z³otowski,8.3,III
krotoszyñski,krotoszyñski,3.8,I
s³upecki,s³upecki,8.1,III
Poznañ,Poznañ,1.7,I
gnieŸnieñski,gnieŸnieñski,6.9,II
jarociñski,jarociñski,4.8,II
pleszewski,pleszewski,3.9,I
kaliski,kaliski,3.4,I
œredzki,œredzki,7.1,III
œremski,œremski,2.9,I
Kalisz,Kalisz,3.7,I
Konin,Konin,9.1,III
chodzieski,chodzieski,8.8,III
gostyñski,gostyñski,6,II
ostrzeszowski,ostrzeszowski,4.8,II
Leszno,Leszno,4.3,II
gryfiñski,gryfiñski,13,V
policki,policki,6.8,II
ko³obrzeski,ko³obrzeski,5.6,II
Koszalin,Koszalin,6.3,II
Szczecin,Szczecin,4.1,I
wa³ecki,wa³ecki,9.4,IV
³obeski,³obeski,21.6,VII
Œwinoujœcie,Œwinoujœcie,5,II
pyrzycki,pyrzycki,14.7,VI
s³awieñski,s³awieñski,14.6,VI
szczecinecki,szczecinecki,17.2,VI
œwidwiñski,œwidwiñski,16,VI
stargardzki,stargardzki,9.7,IV
koszaliñski,koszaliñski,14.4,VI
bia³ogardzki,bia³ogardzki,20.2,VII
choszczeñski,choszczeñski,17.6,VII
goleniowski,goleniowski,7.4,III
drawski,drawski,16.8,VI
gryficki,gryficki,10.2,IV
kamieñski,kamieñski,15,VI
myœliborski,myœliborski,9.4,IV
pucki,pucki,7.4,III
wejherowski,wejherowski,7.2,III
Gdynia,Gdynia,3.2,I
Sopot,Sopot,2.3,I
kartuski,kartuski,3.7,I
Gdañsk,Gdañsk,3.3,I
