,powiat,unemployment_ratio,class
221,kolneński,15.2,VI
222,łomżyński,8.6,III
223,moniecki,7.8,III
224,sejneński,13.5,V
225,siemiatycki,8.4,III
226,sokólski,11.8,V
227,suwalski,4.9,II
228,wysokomazowiecki,6.3,II
229,zambrowski,9.4,IV
230,Białystok,8.0,III
231,Łomża,10.3,IV
232,Suwałki,6.4,II
233,bytowski,11.3,V
234,chojnicki,10.6,IV
235,człuchowski,13.2,V
236,gdański,5.0,II
237,kartuski,3.7,I
238,kościerski,6.5,II
239,kwidzyński,6.7,II
240,lęborski,7.6,III
241,malborski,12.4,V
242,nowodworski,10.7,IV
243,pucki,7.4,III
244,słupski,9.6,IV
245,starogardzki,5.9,II
246,sztumski,11.7,V
247,tczewski,7.0,II
248,wejherowski,7.2,III
249,Gdańsk,3.3,I
250,Gdynia,3.2,I
251,Słupsk,4.8,II
252,Sopot,2.3,I
253,będziński,9.7,IV
254,bielski,4.4,II
255,bieruńsko-lędziński,3.2,I
256,cieszyński,5.6,II
257,częstochowski,9.3,IV
258,gliwicki,6.3,II
259,kłobucki,7.9,III
260,lubliniecki,7.4,III
261,mikołowski,3.5,I
262,myszkowski,9.7,IV
263,pszczyński,3.5,I
264,raciborski,5.4,II
265,rybnicki,7.6,III
266,tarnogórski,7.0,II
267,wodzisławski,7.0,II
268,zawierciański,10.0,IV
269,żywiecki,7.2,III
270,Bielsko-Biała,2.8,I
271,Bytom,13.3,V
272,Chorzów,6.6,II
273,Częstochowa,5.3,II
274,Dąbrowa Górnicza,7.0,II
275,Gliwice,4.0,I
276,Jastrzębie-Zdrój,5.8,II
277,Jaworzno,5.3,II
278,Katowice,2.5,I
279,Mysłowice,6.2,II
280,Piekary Śląskie,8.1,III
281,Ruda Śląska,4.5,II
282,Rybnik,4.9,II
283,Siemianowice Śląskie,7.2,III
284,Sosnowiec,8.7,III
285,Świętochłowice,8.4,III
286,Tychy,3.1,I
287,Zabrze,7.0,II
288,Żory,5.0,II
289,buski,4.4,II
290,jędrzejowski,8.4,III
291,kazimierski,8.6,III
292,kielecki,11.2,IV
293,konecki,12.7,V
294,opatowski,12.8,V
295,ostrowiecki,12.4,V
296,pińczowski,6.8,II
297,sandomierski,7.4,III
298,skarżyski,17.0,VI
299,starachowicki,9.8,IV
300,staszowski,7.5,III
301,włoszczowski,7.0,II
302,Kielce,6.4,II
303,bartoszycki,20.9,VII
304,braniewski,22.4,VII
305,działdowski,16.6,VI
306,elbląski,18.8,VII
307,ełcki,14.7,VI
308,giżycki,10.1,IV
309,gołdapski,12.5,V
310,iławski,5.0,II
311,kętrzyński,19.2,VII
312,lidzbarski,17.6,VII
313,mrągowski,10.6,IV
314,nidzicki,9.0,III
315,nowomiejski,9.3,IV
316,olecki,14.3,VI
317,olsztyński,13.8,V
318,ostródzki,12.8,V
319,piski,17.2,VI
320,szczycieński,12.3,V
321,węgorzewski,18.3,VII
322,Elbląg,10.2,IV
323,Olsztyn,4.6,II
324,chodzieski,8.8,III
325,czarnkowsko-trzcianecki,5.3,II
326,gnieźnieński,6.9,II
327,gostyński,6.0,II
328,grodziski,4.6,II
329,jarociński,4.8,II
330,kaliski,3.4,I
331,kępiński,2.1,I
332,kolski,7.9,III
333,koniński,12.0,V
334,kościański,4.0,I
335,krotoszyński,3.8,I
336,leszczyński,3.5,I
337,międzychodzki,5.1,II
338,nowotomyski,2.7,I
339,obornicki,4.9,II
340,ostrowski,3.7,I
341,ostrzeszowski,4.8,II
342,pilski,6.1,II
343,pleszewski,3.9,I
344,poznański,1.9,I
345,rawicki,5.2,II
346,słupecki,8.1,III
347,szamotulski,4.5,II
348,średzki,7.1,III
349,śremski,2.9,I
350,turecki,4.7,II
351,wągrowiecki,7.1,III
352,wolsztyński,1.9,I
353,wrzesiński,4.2,I
354,złotowski,8.3,III
355,Kalisz,3.7,I
